,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
167,PARIS,Paris Hilton,9780063224643,4/29/2023,5/3/2023 22:51,HarperAudio,0
168,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250260635,4/29/2023,5/3/2023 22:51,Macmillan Audio,0
169,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,9781250867070,4/29/2023,5/3/2023 22:51,Macmillan Audio,0
170,ATOMIC HABITS,James Clear,9780735211292,4/29/2023,5/3/2023 22:51,Avery,0
171,THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944,4/29/2023,5/3/2023 22:51,Grand Central,0
172,THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886,4/29/2023,5/3/2023 22:51,Penguin Press,0
173,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,4/29/2023,5/3/2023 22:51,Crown,0
174,DARE TO LEAD,Brené Brown,9780399592522,4/29/2023,5/3/2023 22:51,Random House,0
175,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi,9781523505746,4/29/2023,5/3/2023 22:51,Workman,0
176,"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557,4/29/2023,5/3/2023 22:51,"Farrar, Straus & Giroux",0
177,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781250183866,4/29/2023,5/3/2023 22:51,St. Martin's,0
178,PARIS,Paris Hilton,9780063224629,4/29/2023,5/3/2023 22:51,Dey Street,0
179,GRIT,Angela Duckworth,9781501111112,4/29/2023,5/3/2023 22:51,Scribner,0
180,TWENTY THOUSAND FLEAS UNDER THE SEA,Dav Pilkey,9781338801910,4/29/2023,5/3/2023 22:51,Scholastic,0
181,COLLABORATIONS,Dav Pilkey,9781338846621,4/29/2023,5/3/2023 22:51,Scholastic,0
182,MOTHERING HEIGHTS,Dav Pilkey,9781338680454,4/29/2023,5/3/2023 22:51,Scholastic,0
183,MOON RISING,Tui T. Sutherland.,9781338730890,4/29/2023,5/3/2023 22:51,Scholastic,0
184,GRIME AND PUNISHMENT,Dav Pilkey,9781338535624,4/29/2023,5/3/2023 22:51,Scholastic,0
185,SCHOOL TRIP,Jerry Craft,9780062885531,4/29/2023,5/3/2023 22:51,Quill Tree,0
186,"ONE PIECE, VOL. 102",Eiichiro Oda,9781974736553,4/29/2023,5/3/2023 22:51,VIZ Media,0
187,"KAIJU NO. 8, VOL. 6",Naoya Matsumoto,9781974736331,4/29/2023,5/3/2023 22:51,VIZ Media,0
188,FOR WHOM THE BALL ROLLS,Dav Pilkey,9781338236590,4/29/2023,5/3/2023 22:51,Scholastic,0
189,MARY ANNE'S BAD LUCK MYSTERY,Ann M. Martin.,9781338616101,4/29/2023,5/3/2023 22:51,Scholastic,0
190,TEENAGE MUTANT NINJA TURTLES: THE LAST RONIN,"Kevin Eastman, Peter Laird and Tom Waltz",9781684058419,4/29/2023,5/3/2023 22:51,IDW,0
191,FETCH-22,Dav Pilkey,9781338323214,4/29/2023,5/3/2023 22:51,Scholastic,0
192,"SPY X FAMILY, VOL. 9",Tatsuya Endo,9781974736287,4/29/2023,5/3/2023 22:51,VIZ Media,0
193,LORD OF THE FLEAS,Dav Pilkey,9781338741070,4/29/2023,5/3/2023 22:51,Scholastic,0
194,SPY CAMP,Stuart Gibbs.,9781534499379,4/29/2023,5/3/2023 22:51,Simon & Schuster,0
195,THE RUSSIAN,James Patterson and James O. Born,9781538703588,4/29/2023,5/3/2023 22:51,Grand Central,0
196,SUSPECTS,Danielle Steel,9781984821706,4/29/2023,5/3/2023 22:51,Dell,0
197,TWO ALONE,Sandra Brown,9780778334446,4/29/2023,5/3/2023 22:51,MIRA,0
198,LEGACY,Nora Roberts,9781250775009,4/29/2023,5/3/2023 22:51,St. Martin's,0
199,DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,9781538753088,4/29/2023,5/3/2023 22:51,Grand Central,0
200,MERCY,David Baldacci,9781538719718,4/29/2023,5/3/2023 22:51,Grand Central,0
201,THE JENSENS OF COLORADO,William W. Johnstone and J.A. Johnstone,9780786050130,4/29/2023,5/3/2023 22:51,Pinnacle,0
202,TOM CLANCY: ZERO HOUR,Don Bentley,9780593422748,4/29/2023,5/3/2023 22:51,Berkley,0
203,SAVE IT FOR SUNDAY,William W. Johnstone and J.A. Johnstone,9780786049578,4/29/2023,5/3/2023 22:51,Pinnacle,0
204,THE LAST HOUSE GUEST,Megan Miranda,9781668012796,4/29/2023,5/3/2023 22:51,Marysue Rucci,0
205,ONE NIGHT,Debbie Macomber,9780061081859,4/29/2023,5/3/2023 22:51,Avon,0
206,GETTING EVEN,Lisa Jackson,9781420155549,4/29/2023,5/3/2023 22:51,Zebra,0
207,SOMEDAY WITH YOU,Nora Roberts,9781335452795,4/29/2023,5/3/2023 22:51,Silhouette,0
208,READY FOR MARRIAGE,Debbie Macomber,9781335498410,4/29/2023,5/3/2023 22:51,Harlequin,0
209,THE JUDGE'S LIST,John Grisham,9780593157831,4/29/2023,5/3/2023 22:51,Vintage,0
210,THE ONE AND ONLY IVAN,Katherine Applegate.,9780061992278,4/29/2023,5/3/2023 22:51,HarperCollins,0
211,THE WILD ROBOT,Peter Brown,9780316382007,4/29/2023,5/3/2023 22:51,"Little, Brown",0
212,WISH,Barbara O'Connor,9781250144058,4/29/2023,5/3/2023 22:51,Square Fish,0
213,A LONG WALK TO WATER,Linda Sue Park,9780547577319,4/29/2023,5/3/2023 22:51,Clarion,0
214,RESTART,Gordon Korman,9781338053807,4/29/2023,5/3/2023 22:51,Scholastic,0
215,THE ONE AND ONLY BOB,Katherine Applegate.,9780062991324,4/29/2023,5/3/2023 22:51,HarperCollins,0
216,FISH IN A TREE,Lynda Mullaly Hunt,9780142426425,4/29/2023,5/3/2023 22:51,Nancy Paulsen,0
217,A WOLF CALLED WANDER,Rosanne Parry.,9780062895943,4/29/2023,5/3/2023 22:51,Greenwillow,0
218,OUT OF MY MIND,Sharon M. Draper,9781416971719,4/29/2023,5/3/2023 22:51,Atheneum,0
