book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
THE ESCAPE ARTIST,Jonathan Freedland,9780063112360,Harper,1,Sense and Sensibility,1995,136 min,"Drama, Romance",PG,7.7,"$43,182,776.00 ",A Birthday for Frances,Russell Hoban/Lillian Hoban,4.24,99432447,9780450000000,eng,4/1/2005,Grand Central Publishing
BRAIDING SWEETGRASS,Robin Wall Kimmerer,9781571313560,Milkweed Editions,159,Mansfield Park,2007,88 min,"Drama, Romance",TV-PG,6.2, N/A ,A Bite to Remember (Argeneau #5),Lynsay Sands,4.24,006077407X,9780100000000,eng,6/6/2002,Harper Collins
ALL ABOUT LOVE,bell hooks,9780060959470,Morrow,73,Mansfield Park,1999,112 min,"Comedy, Drama, Romance",PG-13,7,"$4,764,741.00 ",A Book of Blue Flowers,Robert L. Geneve,3.83,881927694,9780060000000,eng,6/27/2006,Avon
FINDING ME,Viola Davis,9780063037366,HarperOne,4,Northanger Abbey,2007,84 min,"Drama, Romance",PG,7.2, N/A ,A Book of Common Prayer,Joan Didion,3.8,679754865,9780880000000,eng,2/1/2006,Timber Press (OR)
EDUCATED,Tara Westover,9780399590528,Random House,47, Screen Two,19851998,107 min,Drama,PG,7.6,"$5,462,325.00 ",A Box of Matches,Nicholson Baker,3.67,375706038,9780680000000,eng,4/11/1995,Vintage International
"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557,"Farrar, Straus & Giroux",360,Emma,1948,105 min,"Drama, Romance",N/A,0, N/A ,A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi,3.79,152046828,9780380000000,eng,3/9/2004,Vintage
THE DAWN OF EVERYTHING,David Graeber and David Wengrow,9781250858801,Picador,4,Persuasion,2007,93 min,"Action, Drama, Family",Not Rated,7.4, N/A ,A Break With Charity: A Story of the Salem Witch Trials,Ann Rinaldi,3.79,785735488,9780150000000,eng,7/1/2003,HMH Books for Young Readers
THE GLASS CASTLE,Jeannette Walls,9780743247542,Scribner,466,Stardust,2007,127 min,"Adventure, Family, Fantasy",PG-13,7.6,"$38,634,938.00 ",A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon,4.44,385340397,9780790000000,eng,4/1/1994,Turtleback Books
TALKING TO STRANGERS,Malcolm Gladwell,9780316299220,Back Bay,83,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",PG,6.9,"$291,709,845.00 ",A Brief History of Time,Stephen Hawking,4.17,553380168,9780390000000,eng,8/29/2006,Delta
BEING MORTAL,Atul Gawande,9781250076229,Metropolitan,129,The Chronicles of Narnia: Prince Caspian,2008,150 min,"Action, Adventure, Family",PG,6.5,"$141,621,490.00 ",A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,4.22,553804367,9780550000000,eng,9/1/1998,Bantam Books
