title,author,weeks_on_list,publication_date,average_rating,publisher
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,,1/31/2006,4.05,Abdo Publishing Company
100 Years of Lynchings,Ralph Ginzburg,,11/22/1996,4.61,Black Classic Press
Cien años de soledad,Gabriel García Márquez,,1/1/1990,4.07,French & European
On Beyond Zebra!,Dr. Seuss,,9/12/1955,4.04,Random House Books for Young Readers
The Wedding Clause,Debbie Raleigh,,6/7/2005,3.6,Zebra
The Zebra Wall,Kevin Henkes,,2/15/2005,3.44,Greenwillow Books
El perfume: Historia de un asesino,Patrick Süskind,,6/1/2002,4.02,Booket
The Door Into Summer,Robert A. Heinlein,,6/17/1997,4.01,Del Rey
Stranger in a Strange Land,Robert A. Heinlein,,10/1/1991,3.92,Ace
To Sail Beyond the Sunset,Robert A. Heinlein,,6/1/1988,3.87,Ace Books
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,,8/8/2006,3.97,Tor Books
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,,2/15/1991,4.06,Pocket Books
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,,4/26/2005,3.93,Del Rey
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,,12/27/2005,4.14,Del Rey
Douglas Adams's Starship Titanic,Terry Jones,,10/27/1998,3.6,Ballantine Books
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,,7/1/2003,3.93,Turtleback Books
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,,1/12/2011,4.13,Samuel French  Inc.
On Bullshit,Harry G. Frankfurt,,1/30/2005,3.57,Princeton University Press
Another Bullshit Night in Suck City,Nick Flynn,,9/12/2005,3.78,W. W. Norton & Company
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,,6/12/1993,4.14,Simon & Schuster
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,,2/2/1998,4.53,HMH Books for Young Readers
Underworld,Don DeLillo,,7/9/1998,3.92,Scribner
Libra,Don DeLillo,,5/1/1991,3.99,Penguin
Americana,Don DeLillo,,7/6/1989,3.43,Penguin Books
Running Dog,Don DeLillo,,7/17/1989,3.43,Vintage Contemporaries
Cosmopolis,Don DeLillo,,4/6/2004,3.22,Scribner
Great Jones Street,Don DeLillo,,1/1/1994,3.48,Penguin Books
The Names,Don DeLillo,,7/17/1989,3.64,Vintage
Against the Day,Thomas Pynchon,,11/21/2006,4.13,Penguin Press
V.,Thomas Pynchon,,7/5/2005,3.96,Harper Perennial Modern Classics
The Crying of Lot 49,Thomas Pynchon,,4/1/1999,3.69,Harper Perennial
Gravity's Rainbow,Thomas Pynchon,,1/1/2000,4.01,Penguin Books
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,,1/3/2004,4.07,Picador USA
Vineland,Thomas Pynchon,,9/1/1997,3.69,Penguin Classics
Gravity's Rainbow,Thomas Pynchon,,10/31/2006,4.01,Penguin Books
Slow Learner: Early Stories,Thomas Pynchon,,4/30/1985,3.5,Back Bay Books
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,,8/29/1996,3.8,Penguin Classics
The Year of Magical Thinking,Joan Didion,,10/4/2005,3.89,Knopf Publishing Group
The White Album,Joan Didion,,10/1/1990,4.17,Farrar Straus Giroux
A Book of Common Prayer,Joan Didion,,4/11/1995,3.8,Vintage International
Where I Was From,Joan Didion,,9/14/2004,3.86,Vintage
Slouching Towards Bethlehem,Joan Didion,,10/1/1990,4.21,Farrar Straus Giroux
Democracy,Joan Didion,,4/25/1995,3.81,Vintage International
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,,10/17/2006,4.5,Everyman's Library
Play It As It Lays,Joan Didion/David Thomson,,11/15/2005,3.87,Farrar  Straus and Giroux
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,,3/28/2006,3.89,Penguin Classics
City of Glass (The New York Trilogy  #1),Paul Auster,,4/7/1987,3.79,Penguin Books
Ghosts (The New York Trilogy  #2),Paul Auster,,7/7/1987,3.64,Penguin Books
The Locked Room (The New York Trilogy  #3),Paul Auster,,11/1/1986,3.89,Sun and Moon Press
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,,1/1/1995,3.89,Sky Books (NY)
The Brooklyn Follies,Paul Auster,,10/17/2006,3.84,Picador
Moon Palace,Paul Auster,,4/1/1990,3.94,Penguin Books
The Music of Chance,Paul Auster,,12/1/1991,3.9,Penguin Books
Travels in the Scriptorium,Paul Auster,,1/23/2007,3.23,Henry Holt & Company
Leviathan,Paul Auster,,9/1/1993,3.96,Penguin Books
The Red Notebook: True Stories,Paul Auster,,6/17/2002,3.77,New Directions
Timbuktu / Leviathan / Moon Palace,Paul Auster,,11/7/2002,4.38,Actes Sud
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,,12/27/2005,3.93,Penguin Books Ltd. (London)
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,,2/1/2006,3.4,Business Plus
Collapse of Complex Societies,Joseph A. Tainter,,3/29/1990,4.15,Cambridge University Press
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,,8/7/2001,3.8,Simon  Schuster
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,,1/29/2002,3.91,Ballantine Books
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,,9/17/1998,4.39,W. W. Norton  Company
My Inventions,Nikola Tesla,,5/17/2006,4.01,Filiquarian Publishing  LLC.
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,,2/1/2001,3.78,Citadel
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,,10/1/1994,3.93,Lerner Publications
Tesla Papers,Nikola Tesla/David Hatcher Childress,,12/1/2000,4.13,Adventures Unlimited Press
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,,6/27/2006,3.77,Harlequin Blaze
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,,10/11/2004,4.03,Pragmatic Bookshelf
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,,6/13/2000,3.95,Cliffs Notes
Lord of the Flies,William Golding,,10/11/2005,3.68,Listening Library (Audio)
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,,9/12/2006,4.11,Random House
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,,1/1/1989,4.14,HarperCollins Publishers
The Lovely Bones,Alice Sebold,,6/1/2003,3.81,Picador
The Lovely Bones,Alice Sebold,,4/1/2004,3.81,Large Print Press
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,,5/13/1990,3.8,Ballantine Books
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,,2/17/2005,3.98,Peachpit Press
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,,8/1/2006,3.8,Peachpit Press
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,,5/15/2005,3.85,Taschen
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,,6/13/2006,3.81,Scribner
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,,7/2/2004,3.73,Scribner
Vice (V  #8),Jane Feather,,5/2/1996,3.51,Bantam
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,,4/25/2006,3.77,HarperTorch
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,,4/1/2005,4.08,Walker & Company
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,,11/19/1990,3.72,William Morrow Paperbacks
Motorcycle Basics Techbook,John Harold Haynes,,7/5/2002,3.85,Haynes Manuals N. America  Inc.
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,,9/1/2004,3.93,Rockport Publishers
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,,4/1/2003,4.11,Signet Classics
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,,6/25/1998,4.11,Oxford University Press
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,,9/8/2006,4.13,Dover Publications
Atlas Shrugged,Ayn Rand/Leonard Peikoff,,8/1/1999,3.69,Plume
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,,12/1/1963,3.68,Signet Book
The Fountainhead,Ayn Rand,,4/26/2005,3.87,Dutton
