book_title,author,isbn,publisher,weeks_on_list,book_published,movie_released
DARE TO LEAD,Brené Brown,9780399592522.00,Random House,0,,
"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi,9781523505746.00,Workman,0,,
"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557.00,"Farrar, Straus & Giroux",0,,
EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781250183866.00,St. Martin's,0,,
PARIS,Paris Hilton,9780063224629.00,Dey Street,0,,
GRIT,Angela Duckworth,9781501111112.00,Scribner,0,,
TWENTY THOUSAND FLEAS UNDER THE SEA,Dav Pilkey,9781338801910.00,Scholastic,0,,
COLLABORATIONS,Dav Pilkey,9781338846621.00,Scholastic,0,,
MOTHERING HEIGHTS,Dav Pilkey,9781338680454.00,Scholastic,0,,
MOON RISING,Tui T. Sutherland.,9781338730890.00,Scholastic,0,,
GRIME AND PUNISHMENT,Dav Pilkey,9781338535624.00,Scholastic,0,,
SCHOOL TRIP,Jerry Craft,9780062885531.00,Quill Tree,0,,
"ONE PIECE, VOL. 102",Eiichiro Oda,9781974736553.00,VIZ Media,0,,
"KAIJU NO. 8, VOL. 6",Naoya Matsumoto,9781974736331.00,VIZ Media,0,,
FOR WHOM THE BALL ROLLS,Dav Pilkey,9781338236590.00,Scholastic,0,,
MARY ANNE'S BAD LUCK MYSTERY,Ann M. Martin.,9781338616101.00,Scholastic,0,,
TEENAGE MUTANT NINJA TURTLES: THE LAST RONIN,"Kevin Eastman, Peter Laird and Tom Waltz",9781684058419.00,IDW,0,,
FETCH-22,Dav Pilkey,9781338323214.00,Scholastic,0,,
"SPY X FAMILY, VOL. 9",Tatsuya Endo,9781974736287.00,VIZ Media,0,,
LORD OF THE FLEAS,Dav Pilkey,9781338741070.00,Scholastic,0,,
SPY CAMP,Stuart Gibbs.,9781534499379.00,Simon & Schuster,0,,
THE RUSSIAN,James Patterson and James O. Born,9781538703588.00,Grand Central,0,,
SUSPECTS,Danielle Steel,9781984821706.00,Dell,0,,
TWO ALONE,Sandra Brown,9780778334446.00,MIRA,0,,
LEGACY,Nora Roberts,9781250775009.00,St. Martin's,0,,
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,9781538753088.00,Grand Central,0,,
MERCY,David Baldacci,9781538719718.00,Grand Central,0,,
THE JENSENS OF COLORADO,William W. Johnstone and J.A. Johnstone,9780786050130.00,Pinnacle,0,,
TOM CLANCY: ZERO HOUR,Don Bentley,9780593422748.00,Berkley,0,,
SAVE IT FOR SUNDAY,William W. Johnstone and J.A. Johnstone,9780786049578.00,Pinnacle,0,,
THE LAST HOUSE GUEST,Megan Miranda,9781668012796.00,Marysue Rucci,0,,
ONE NIGHT,Debbie Macomber,9780061081859.00,Avon,0,,
GETTING EVEN,Lisa Jackson,9781420155549.00,Zebra,0,,
SOMEDAY WITH YOU,Nora Roberts,9781335452795.00,Silhouette,0,,
READY FOR MARRIAGE,Debbie Macomber,9781335498410.00,Harlequin,0,,
THE JUDGE'S LIST,John Grisham,9780593157831.00,Vintage,0,,
THE ONE AND ONLY IVAN,Katherine Applegate.,9780061992278.00,HarperCollins,0,,
THE WILD ROBOT,Peter Brown,9780316382007.00,"Little, Brown",0,,
WISH,Barbara O'Connor,9781250144058.00,Square Fish,0,,
A LONG WALK TO WATER,Linda Sue Park,9780547577319.00,Clarion,0,,
RESTART,Gordon Korman,9781338053807.00,Scholastic,0,,
THE ONE AND ONLY BOB,Katherine Applegate.,9780062991324.00,HarperCollins,0,,
FISH IN A TREE,Lynda Mullaly Hunt,9780142426425.00,Nancy Paulsen,0,,
A WOLF CALLED WANDER,Rosanne Parry.,9780062895943.00,Greenwillow,0,,
OUT OF MY MIND,Sharon M. Draper,9781416971719.00,Atheneum,0,,
WHEN YOU TRAP A TIGER,Tae Keller,9781524715731.00,Yearling,0,,
IF HE HAD BEEN WITH ME,Laura Nowlin,9781728205489.00,Sourcebooks Fire,0,,
GIRL IN PIECES,Kathleen Glasgow,9781101934746.00,Ember,0,,
BETTER THAN THE MOVIES,Lynn Painter,9781534467637.00,Simon & Schuster,0,,
THE WAY I USED TO BE,Amber Smith,9781481449366.00,Margaret K. McElderry,0,,
ONE OF US IS LYING,Karen M. McManus,9781524714758.00,Delacorte,0,,
THE ISLAND,Natasha Preston,9780593481493.00,Delacorte,0,,
THEY BOTH DIE AT THE END,Adam Silvera,9780062457806.00,Quill Tree,0,,
SIX OF CROWS,Leigh Bardugo,9781250076960.00,Square Fish,0,,
THE BOOK THIEF,Markus Zusak,9780375842207.00,Knopf,0,,
ONCE UPON A BROKEN HEART,Stephanie Garber,9781250898326.00,Flatiron,0,,
