,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
98,TASTING HISTORY,Max Miller with Ann Volkwein,9781982186180,2023-04-29,2023-05-03 22:05:31,Simon Element,2
99,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,9780062457714,2023-04-29,2023-05-03 22:05:31,Harper,294
100,WONDER,R.J. Palacio,9780375869020,2023-04-29,2023-05-03 22:05:28,Knopf,394
101,REFUGEE,Alan Gratz,9780545880831,2023-04-29,2023-05-03 22:05:28,Scholastic,218
102,NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138,2023-04-29,2023-05-03 22:05:28,Balzer + Bray,4
103,ODDER,Katherine Applegate.,9781250147424,2023-04-29,2023-05-03 22:05:28,Feiwel & Friends,32
104,BIG TREE,Brian Selznick,9781338180633,2023-04-29,2023-05-03 22:05:28,Scholastic,4
105,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,2023-04-29,2023-05-03 22:05:28,Sourcebooks Jabberwocky,151
106,TWO DEGREES,Alan Gratz,9781338735673,2023-04-29,2023-05-03 22:05:28,Scholastic,30
107,ONCE THERE WAS,Kiyash Monsef,9781665928502,2023-04-29,2023-05-03 22:05:28,Simon & Schuster,4
108,FREEWATER,Amina Luqman-Dawson,9780316056618,2023-04-29,2023-05-03 22:05:28,"Little, Brown",4
109,THE SWIFTS,Beth Lincoln.,9780593533239,2023-04-29,2023-05-03 22:05:28,Dutton,8
110,BECAUSE I HAD A TEACHER,Kobi Yamada.,9781943200085,2023-04-29,2023-05-03 22:05:32,Compendium,11
111,DRAGONS LOVE TACOS,Adam Rubin.,9780803736801,2023-04-29,2023-05-03 22:05:32,Dial,396
112,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,9780385376716,2023-04-29,2023-05-03 22:05:32,Random House,350
113,THE DAY THE CRAYONS QUIT,Drew Daywalt.,9780399255373,2023-04-29,2023-05-03 22:05:32,Philomel,358
114,WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,9780316486798,2023-04-29,2023-05-03 22:05:33,"Little, Brown",4
115,DOLLY PARTON'S BILLY THE KID MAKES IT BIG,Dolly Parton with Erica S. Perl.,9780593661574,2023-04-29,2023-05-03 22:05:33,Penguin Workshop,1
116,I WISH YOU MORE,Amy Krouse Rosenthal.,9781452126999,2023-04-29,2023-05-03 22:05:33,Chronicle,80
117,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle,9780593226186,2023-04-29,2023-05-03 22:05:33,World of Eric Carle,8
118,THE BOOK WITH NO PICTURES,B.J. Novak,9780803741713,2023-04-29,2023-05-03 22:05:33,Dial,183
119,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,9780451533463,2023-04-29,2023-05-03 22:05:33,Grosset & Dunlap,15
120,THE HUNGER GAMES,Suzanne Collins,9781338635171,2023-04-29,2023-05-03 22:05:27,Scholastic,273
121,DIARY OF A WIMPY KID,and   Jeff Kinney,9781419762949,2023-04-29,2023-05-03 22:05:27,Amulet,737
122,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,9781984896391,2023-04-29,2023-05-03 22:05:27,Delacorte,83
123,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,9781416968290,2023-04-29,2023-05-03 22:05:27,Simon & Schuster,54
124,HARRY POTTER,J.K. Rowling,9780590353427,2023-04-29,2023-05-03 22:05:28,Scholastic,736
125,CAPTAIN UNDERPANTS,and   Dav Pilkey,9781338865394,2023-04-29,2023-05-03 22:05:28,Scholastic,313
126,SHADOW AND BONE TRILOGY,Leigh Bardugo,9781250196231,2023-04-29,2023-05-03 22:05:28,Square Fish,43
127,THE INHERITANCE GAMES,Jennifer Lynn Barnes,9780759555402,2023-04-29,2023-05-03 22:05:28,"Little, Brown",35
128,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,9780786838653,2023-04-29,2023-05-03 22:05:28,Disney-Hyperion,671
129,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,9780448483207,2023-04-29,2023-05-03 22:05:28,Penguin Workshop,140
130,FIVE SURVIVE,Holly Jackson,9780593374160,2023-04-29,2023-05-03 22:05:28,Delacorte,22
131,NICK AND CHARLIE,Alice Oseman,9781338885101,2023-04-29,2023-05-03 22:05:29,Scholastic,17
132,SILVER IN THE BONE,Alexandra Bracken,9780593481653,2023-04-29,2023-05-03 22:05:29,Knopf,4
133,THE FIRST TO DIE AT THE END,Adam Silvera,9780063240803,2023-04-29,2023-05-03 22:05:29,Quill Tree,30
134,LIGHTLARK,Alex Aster,9781419760860,2023-04-29,2023-05-03 22:05:29,Amulet,36
